Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
810	-68.74527	-76.30758	7.562313	0.104431	0.297167	0.0297287	0.0320473	0.104099	0.0823574	0.25233	0.346664	0.401006
820	-70.74314	-73.34572	2.602586	0.0265464	0.250787	0.493082	0.0924933	0.0209625	0.136824	0.486261	0.126436	0.387303
830	-67.07714	-74.58183	7.504688	0.141256	0.0812062	0.182904	0.0945755	0.0882307	0.065966	0.208084	0.181534	0.610383
840	-75.2034	-72.39826	-2.80514	0.362019	0.0473149	0.00103244	0.632547	0.160614	0.221531	0.0849039	0.412309	0.502788
850	-68.85006	-72.48997	3.639912	0.108116	0.228272	0.289434	0.0232783	0.129451	0.164578	0.363166	0.220636	0.416198
860	-69.19087	-74.29331	5.102446	0.118011	0.16565	0.103796	0.160696	0.134581	0.151034	0.805949	0.00814507	0.185906
870	-71.91031	-74.09609	2.185787	0.020037	0.435311	0.213904	0.0580343	0.000759155	0.323816	0.231942	0.565288	0.20277
880	-70.02479	-74.405	4.380212	0.208829	0.0134447	0.279022	0.184457	0.064716	0.137304	0.0855995	0.515928	0.398473
890	-67.44124	-77.19634	9.755106	0.102137	0.0288314	0.104091	0.0197794	0.077239	0.153786	0.192556	0.200522	0.606922
900	-71.67226	-72.53029	0.8580223	0.0605494	0.575977	0.213902	0.0131814	0.120969	0.166567	0.258772	0.256881	0.484347
910	-69.44427	-78.93112	9.486849	0.0500681	0.0428776	0.0951807	0.135462	0.0433239	0.13901	0.51109	0.391233	0.0976766
920	-68.61907	-73.33238	4.713313	0.251773	0.0874463	0.109604	0.206994	0.107015	0.100033	0.0182969	0.650804	0.330899
930	-67.52236	-77.9454	10.42304	0.0283803	0.0496009	0.110888	0.0767769	0.0658033	0.104469	0.0598958	0.687269	0.252835
940	-70.93116	-73.10576	2.174598	0.222581	0.122505	0.188139	0.273806	0.155087	0.0905803	0.771927	0.0947002	0.133373
950	-67.14319	-75.58529	8.442104	0.147528	0.104714	0.137409	0.0296389	0.0487096	0.116044	0.274391	0.16402	0.561589
960	-71.23036	-73.50608	2.275719	0.348976	0.0130755	0.0302364	0.336696	0.23733	0.0788225	0.730305	0.0766145	0.193081
970	-67.01901	-77.01224	9.993223	0.077009	0.0528878	0.0765457	0.0323246	0.129052	0.100239	0.330029	0.0823667	0.587604
980	-68.74386	-72.51798	3.774112	0.0593523	0.236211	0.322135	0.120157	0.043194	0.152044	0.0955489	0.0301372	0.874314
990	-70.45669	-71.52916	1.07247	0.199222	0.321191	0.391174	0.0481234	0.0447092	0.130691	0.374943	0.16651	0.458547
1000	-66.23109	-76.60991	10.37882	0.191289	0.0974932	0.0100076	0.0187012	0.0590179	0.0627163	0.18304	0.0798365	0.737123
1010	-67.44737	-72.84706	5.399692	0.132617	0.151473	0.222207	0.0736149	0.100898	0.13073	0.04314	0.342772	0.614088
1020	-68.99013	-74.10395	5.113825	0.236757	0.0851942	0.0759066	0.142744	0.186116	0.106199	0.234399	0.411364	0.354237
1030	-69.10595	-74.0755	4.969548	0.132348	0.11353	0.320705	0.0505354	0.148814	0.0777732	0.0793316	0.470459	0.450209
1040	-72.2926	-73.63842	1.345812	0.10107	0.375168	0.211335	0.267574	0.0763707	0.083152	0.453133	0.383659	0.163208
1050	-67.93485	-74.75087	6.816029	0.178378	0.0897369	0.0876023	0.0634385	0.150382	0.136097	0.0408195	0.0678173	0.891363
1060	-67.47708	-73.90373	6.426651	0.0125865	0.10065	0.373358	0.0422702	0.0605586	0.145326	0.383615	0.0311241	0.585261
1070	-67.67496	-75.20953	7.534572	0.00339881	0.266957	0.198696	0.00571827	0.0746229	0.102512	0.147265	0.267031	0.585704
1080	-69.61454	-74.05391	4.439368	0.0764082	0.265955	0.198696	0.108139	0.16305	0.071101	0.0895843	0.418189	0.492226
1090	-68.37101	-73.97238	5.601373	0.2226	0.205155	0.0273348	0.0806793	0.183704	0.0769868	0.299315	0.224178	0.476508
1100	-68.34587	-74.41442	6.068552	0.122864	0.179301	0.156991	0.0189844	0.154411	0.128976	0.143876	0.453116	0.403008
1110	-71.03936	-73.69398	2.654618	0.258603	0.0836744	0.457622	0.0552189	0.0970036	0.0646817	0.216432	0.141647	0.641921
1120	-69.10263	-74.58624	5.483612	0.139545	0.205742	0.0821753	0.1632	0.0784231	0.13618	0.194844	0.131524	0.673632
1130	-70.58471	-75.5819	4.997198	0.375516	0.0689062	0.125765	0.00506209	0.201374	0.0650135	0.478661	0.0451687	0.47617
1140	-65.45002	-75.94056	10.49054	0.0465143	0.0767377	0.153167	0.00104675	0.0649862	0.0884185	0.236932	0.197353	0.565714
1150	-68.95193	-73.11274	4.160808	0.0985807	0.365695	0.253751	0.0598437	0.032218	0.0940909	0.1113	0.55764	0.33106
1160	-71.39311	-71.42239	0.02928788	0.129092	0.362776	0.553159	0.0208178	0.00496737	0.142301	0.190308	0.755823	0.053869
1170	-75.41544	-74.87501	-0.5404363	0.484925	0.297775	0.0677138	0.191376	0.197381	0.0165446	0.444095	0.229351	0.326554
1180	-77.51736	-71.87599	-5.641372	0.357223	0.21496	0.245667	0.500894	0.186634	0.131762	0.518889	0.042951	0.43816
1190	-69.94635	-75.71056	5.764211	0.0852199	0.386783	0.116924	0.0262315	0.0134558	0.155669	0.141763	0.632973	0.225264
1200	-69.43817	-75.60732	6.169156	0.102631	0.157324	0.10094	0.0933067	0.216287	0.0835149	0.119311	0.136312	0.744378
1210	-67.93014	-72.4456	4.515463	0.0744041	0.189779	0.312943	0.0790633	0.0730872	0.148383	0.444708	0.111122	0.44417
1220	-69.07936	-72.97411	3.894745	0.0411248	0.217523	0.294576	0.127587	0.0553229	0.18794	0.388782	0.274915	0.336303
1230	-67.83216	-77.46915	9.636989	0.124993	0.0574876	0.153371	0.0354029	0.0846258	0.0388147	0.0596709	0.5258	0.414529
1240	-69.16657	-74.99114	5.824565	0.225553	0.140096	0.117312	0.146371	0.111002	0.0394371	0.485515	0.133846	0.380639
1250	-71.54446	-74.44149	2.897027	0.195274	0.313481	0.280978	0.0248805	0.159254	0.0248115	0.101386	0.29165	0.606964
1260	-66.75473	-75.15485	8.400112	0.0666648	0.117266	0.102699	0.0953743	0.113366	0.0918137	0.0923539	0.0237642	0.883882
1270	-72.96841	-75.97965	3.011239	0.520037	0.020141	0.0470338	0.25035	0.149505	0.00307175	0.356112	0.208244	0.435644
1280	-69.0008	-76.22525	7.224453	0.29268	0.100841	0.00498218	0.10498	0.165329	0.00628159	0.0169507	0.000920882	0.982128
1290	-68.31031	-72.41119	4.100871	0.16333	0.146973	0.326562	0.0117324	0.0972773	0.162785	0.15207	0.00455276	0.843378
1300	-69.22765	-75.85187	6.624225	0.130584	0.299516	0.0360802	0.120192	0.0251305	0.108473	0.622669	0.0982459	0.279085
1310	-66.87778	-74.44786	7.57008	0.114277	0.107005	0.128165	0.089752	0.0903766	0.119674	0.020902	0.47602	0.503078
1320	-67.09395	-75.16191	8.067961	0.14528	0.0475603	0.0516529	0.173905	0.106722	0.0869	0.294853	0.128737	0.576409
1330	-68.41489	-73.56419	5.149303	0.0298233	0.215462	0.320089	0.000843005	0.121214	0.142833	0.235068	0.764678	0.000253867
1340	-69.29409	-75.77696	6.482877	0.185636	0.119733	0.16715	0.0558116	0.0364872	0.165728	0.0827469	0.322401	0.594853
1350	-75.34341	-75.52012	0.1767036	0.182295	0.147236	0.0962216	0.327947	0.348222	0.100169	0.0407368	0.778104	0.18116
1360	-71.41708	-76.69483	5.277755	0.0761328	0.339969	0.0516175	0.110152	0.173192	0.0695952	0.249537	0.620861	0.129602
